cgpa,tenth_percentage,twelfth_percentage,backlogs,internships,num_technical_skills,num_soft_skills,num_projects,num_certifications,experience_years,num_programming_languages,department,gender,college_tier,placed
9.11,98.2,72.1,0,1,6,3,3,1,0.8,2,Information Technology,Male,Tier-2,1
8.85,64.0,74.5,0,0,13,6,6,0,0.3,1,Computer Science,Female,Tier-1,1
8.95,74.5,71.5,1,0,12,9,1,4,0.7,6,Computer Science,Female,Tier-3,1
8.06,90.6,54.4,0,2,2,10,0,5,0.1,6,Computer Science,Female,Tier-3,1
9.9,82.3,83.4,0,2,2,0,6,0,0.2,1,Computer Science,Male,Tier-1,1
7.85,98.2,86.1,0,4,13,6,7,3,0.3,7,Computer Science,Female,Tier-3,1
9.45,74.4,60.0,0,0,13,5,4,5,3.0,5,Mechanical,Male,Tier-1,1
8.37,72.1,60.0,0,2,3,8,7,0,0.6,7,Chemical,Female,Tier-2,0
8.69,69.2,79.6,0,1,5,7,3,1,0.5,1,Information Technology,Male,Tier-3,1
9.52,71.7,79.5,0,1,12,1,7,5,1.5,8,Computer Science,Male,Tier-3,1
9.75,61.2,84.5,0,2,6,10,2,6,1.2,7,Electrical,Female,Tier-1,1
7.7,70.2,93.4,0,3,5,2,6,5,1.1,2,Computer Science,Male,Tier-3,1
9.0,63.5,61.2,0,1,12,2,5,1,0.9,3,Computer Science,Male,Tier-2,1
8.96,86.6,73.9,0,0,1,5,0,2,0.1,3,Computer Science,Male,Tier-2,0
7.69,95.8,62.0,3,1,13,1,4,2,0.5,1,Computer Science,Male,Tier-3,0
9.21,80.7,62.9,0,1,1,10,3,1,2.3,4,Mechanical,Male,Tier-1,0
7.86,69.9,69.4,0,2,7,1,5,6,3.2,2,Computer Science,Male,Tier-2,1
8.62,86.9,93.7,0,1,14,3,8,1,0.6,8,Electronics,Male,Tier-3,0
8.55,77.5,89.4,0,0,10,0,3,1,0.0,3,Electronics,Male,Tier-2,0
8.67,90.2,74.0,0,1,14,0,1,4,0.7,8,Civil,Male,Tier-1,1
8.24,66.7,47.0,3,0,7,0,7,5,0.3,4,Electronics,Male,Tier-3,0
9.39,67.5,80.1,0,2,13,4,0,6,0.2,8,Computer Science,Female,Tier-2,1
7.63,86.7,79.8,0,0,10,8,5,0,0.3,3,Information Technology,Male,Tier-3,1
9.05,77.8,62.9,1,1,6,3,3,4,0.1,4,Electrical,Male,Tier-3,0
8.37,89.1,85.8,0,2,9,7,5,6,0.0,8,Computer Science,Female,Tier-3,1
8.75,67.7,62.6,0,1,2,6,2,3,0.6,1,Information Technology,Female,Tier-1,1
8.96,83.2,85.8,0,2,1,5,8,2,0.3,6,Electrical,Male,Tier-3,0
8.1,84.6,78.1,0,2,11,8,2,0,0.3,7,Civil,Female,Tier-2,0
8.66,59.6,56.0,0,0,6,9,2,2,0.3,8,Information Technology,Female,Tier-1,1
8.73,78.0,70.3,0,1,6,0,4,6,0.7,4,Mechanical,Male,Tier-3,0
8.22,53.8,76.9,0,1,9,6,6,3,1.3,1,Computer Science,Male,Tier-2,1
8.37,95.6,78.9,2,1,11,8,5,1,1.1,6,Electronics,Male,Tier-1,1
8.96,62.2,88.4,0,1,10,9,6,2,3.7,7,Electrical,Male,Tier-1,1
7.38,75.7,90.1,0,1,1,1,8,1,2.5,4,Civil,Female,Tier-3,0
