cgpa,tenth_percentage,twelfth_percentage,backlogs,internships,num_technical_skills,num_soft_skills,num_projects,num_certifications,experience_years,num_programming_languages,department,gender,college_tier,placed,salary_lpa
9.11,98.2,72.1,0,1,6,3,3,1,0.8,2,Information Technology,Male,Tier-2,1,19.92
8.85,64.0,74.5,0,0,13,6,6,0,0.3,1,Computer Science,Female,Tier-1,1,25.41
8.95,74.5,71.5,1,0,12,9,1,4,0.7,6,Computer Science,Female,Tier-3,1,16.51
8.06,90.6,54.4,0,2,2,10,0,5,0.1,6,Computer Science,Female,Tier-3,1,15.52
9.9,82.3,83.4,0,2,2,0,6,0,0.2,1,Computer Science,Male,Tier-1,1,27.53
7.85,98.2,86.1,0,4,13,6,7,3,0.3,7,Computer Science,Female,Tier-3,1,21.43
9.45,74.4,60.0,0,0,13,5,4,5,3.0,5,Mechanical,Male,Tier-1,1,20.13
8.37,72.1,60.0,0,2,3,8,7,0,0.6,7,Chemical,Female,Tier-2,0,0.0
8.69,69.2,79.6,0,1,5,7,3,1,0.5,1,Information Technology,Male,Tier-3,1,14.27
9.52,71.7,79.5,0,1,12,1,7,5,1.5,8,Computer Science,Male,Tier-3,1,20.03
9.75,61.2,84.5,0,2,6,10,2,6,1.2,7,Electrical,Female,Tier-1,1,18.33
7.7,70.2,93.4,0,3,5,2,6,5,1.1,2,Computer Science,Male,Tier-3,1,16.42
9.0,63.5,61.2,0,1,12,2,5,1,0.9,3,Computer Science,Male,Tier-2,1,21.9
8.96,86.6,73.9,0,0,1,5,0,2,0.1,3,Computer Science,Male,Tier-2,0,0.0
7.69,95.8,62.0,3,1,13,1,4,2,0.5,1,Computer Science,Male,Tier-3,0,0.0
9.21,80.7,62.9,0,1,1,10,3,1,2.3,4,Mechanical,Male,Tier-1,0,0.0
7.86,69.9,69.4,0,2,7,1,5,6,3.2,2,Computer Science,Male,Tier-2,1,23.2
8.62,86.9,93.7,0,1,14,3,8,1,0.6,8,Electronics,Male,Tier-3,0,0.0
8.55,77.5,89.4,0,0,10,0,3,1,0.0,3,Electronics,Male,Tier-2,0,0.0
8.67,90.2,74.0,0,1,14,0,1,4,0.7,8,Civil,Male,Tier-1,1,16.02
8.24,66.7,47.0,3,0,7,0,7,5,0.3,4,Electronics,Male,Tier-3,0,0.0
9.39,67.5,80.1,0,2,13,4,0,6,0.2,8,Computer Science,Female,Tier-2,1,24.17
7.63,86.7,79.8,0,0,10,8,5,0,0.3,3,Information Technology,Male,Tier-3,1,13.27
9.05,77.8,62.9,1,1,6,3,3,4,0.1,4,Electrical,Male,Tier-3,0,0.0
8.37,89.1,85.8,0,2,9,7,5,6,0.0,8,Computer Science,Female,Tier-3,1,17.9
8.75,67.7,62.6,0,1,2,6,2,3,0.6,1,Information Technology,Female,Tier-1,1,21.16
8.96,83.2,85.8,0,2,1,5,8,2,0.3,6,Electrical,Male,Tier-3,0,0.0
8.1,84.6,78.1,0,2,11,8,2,0,0.3,7,Civil,Female,Tier-2,0,0.0
8.66,59.6,56.0,0,0,6,9,2,2,0.3,8,Information Technology,Female,Tier-1,1,22.4
8.73,78.0,70.3,0,1,6,0,4,6,0.7,4,Mechanical,Male,Tier-3,0,0.0
8.22,53.8,76.9,0,1,9,6,6,3,1.3,1,Computer Science,Male,Tier-2,1,19.86
8.37,95.6,78.9,2,1,11,8,5,1,1.1,6,Electronics,Male,Tier-1,1,20.64
8.96,62.2,88.4,0,1,10,9,6,2,3.7,7,Electrical,Male,Tier-1,1,18.25
7.38,75.7,90.1,0,1,1,1,8,1,2.5,4,Civil,Female,Tier-3,0,0.0
7.21,77.9,71.9,0,0,11,3,2,2,0.5,7,Computer Science,Female,Tier-2,1,18.48
8.43,66.5,82.3,1,1,1,4,4,6,1.7,4,Electronics,Male,Tier-2,1,15.8
8.79,99.0,95.9,0,0,12,10,4,3,0.2,8,Information Technology,Male,Tier-1,1,27.77
9.86,69.7,61.8,0,0,14,4,2,2,0.2,7,Electronics,Male,Tier-3,1,12.6
8.7,74.8,67.1,0,1,12,10,8,3,1.2,7,Computer Science,Male,Tier-3,1,20.4
7.63,69.7,53.5,0,1,10,6,8,6,0.2,4,Chemical,Female,Tier-2,0,0.0
7.1,69.6,66.8,0,0,12,9,5,0,0.6,7,Electronics,Male,Tier-2,1,14.87
8.6,76.7,77.7,0,1,6,7,4,4,0.4,2,Computer Science,Female,Tier-1,1,25.66
9.75,86.4,47.5,0,0,5,8,3,3,0.3,3,Mechanical,Male,Tier-2,0,0.0
7.48,79.9,80.7,0,2,11,4,3,2,0.2,7,Computer Science,Female,Tier-2,1,19.47
8.33,68.9,68.9,0,0,6,1,4,0,0.9,7,Computer Science,Male,Tier-2,1,18.86
8.82,77.9,74.2,1,0,6,1,1,6,0.1,7,Computer Science,Male,Tier-2,1,19.37
8.17,61.6,59.8,1,1,13,4,7,3,1.2,4,Information Technology,Female,Tier-2,1,19.53
9.41,92.2,73.7,0,1,4,4,6,2,2.3,1,Information Technology,Female,Tier-3,1,15.81
9.2,71.9,96.8,0,0,10,4,6,5,0.4,4,Electronics,Female,Tier-2,1,16.99
7.52,72.6,69.8,0,0,8,5,0,3,0.5,8,Electronics,Female,Tier-1,1,18.29
8.93,54.6,46.2,0,0,5,7,7,3,0.9,2,Information Technology,Female,Tier-3,0,0.0
9.25,71.9,90.8,0,0,6,10,0,1,1.1,8,Information Technology,Female,Tier-2,1,19.44
8.47,98.2,82.1,0,0,15,4,8,2,0.8,8,Mechanical,Female,Tier-1,1,19.15
7.72,85.3,76.2,1,1,2,2,5,4,1.2,2,Computer Science,Male,Tier-3,0,0.0
9.57,91.3,82.4,0,2,1,8,7,3,1.7,6,Mechanical,Male,Tier-1,1,19.67
7.67,79.4,76.1,0,1,8,3,0,0,4.6,7,Chemical,Male,Tier-3,0,0.0
8.09,46.6,96.4,0,0,6,7,5,2,0.5,8,Electronics,Female,Tier-1,1,20.34
9.05,78.8,84.8,0,2,13,8,0,4,0.9,2,Electronics,Male,Tier-3,0,0.0
9.58,80.4,69.1,0,1,9,10,2,2,0.5,4,Mechanical,Female,Tier-2,0,0.0
9.67,88.7,94.4,0,0,5,6,1,5,0.3,4,Electronics,Female,Tier-1,1,20.62
8.09,77.6,98.7,0,1,8,2,1,4,5.0,4,Computer Science,Male,Tier-3,1,17.52
9.59,68.7,86.8,0,0,7,9,3,4,0.0,7,Mechanical,Male,Tier-3,0,0.0
8.57,76.8,80.3,1,0,11,10,6,3,0.1,3,Electronics,Male,Tier-3,1,11.85
8.66,73.9,63.9,0,0,10,5,2,1,0.9,4,Chemical,Male,Tier-2,0,0.0
8.35,84.3,83.9,1,1,1,6,6,2,1.2,5,Computer Science,Male,Tier-2,1,18.55
9.53,76.8,80.0,0,0,7,6,8,0,1.3,8,Electronics,Male,Tier-3,1,14.11
7.12,66.1,74.7,1,1,4,7,3,5,1.2,7,Mechanical,Male,Tier-3,0,0.0
7.86,84.8,84.1,0,1,13,9,6,0,1.6,2,Mechanical,Male,Tier-2,0,0.0
9.59,69.1,76.1,1,1,6,4,0,1,1.4,4,Computer Science,Female,Tier-1,1,26.76
9.06,74.2,82.1,0,0,9,4,1,0,0.8,7,Information Technology,Female,Tier-3,1,14.86
8.23,72.4,88.5,0,2,15,1,7,2,0.6,6,Information Technology,Male,Tier-3,1,17.79
8.4,80.8,57.7,0,1,15,10,2,0,1.3,3,Mechanical,Male,Tier-3,0,0.0
8.4,61.5,61.7,0,1,13,1,4,5,1.3,1,Mechanical,Female,Tier-1,0,0.0
9.07,78.4,63.1,0,1,13,3,7,2,0.4,7,Computer Science,Male,Tier-2,1,22.76
7.23,91.0,99.0,2,0,13,6,4,4,0.0,8,Civil,Male,Tier-1,0,0.0
8.98,79.1,83.2,0,0,9,7,0,3,0.4,2,Electronics,Male,Tier-2,0,0.0
9.62,70.0,84.4,0,1,9,2,1,1,0.8,4,Information Technology,Male,Tier-1,1,25.72
8.44,73.6,89.7,0,1,5,0,2,1,0.7,4,Information Technology,Female,Tier-2,1,18.3
6.87,81.5,61.4,0,0,4,3,1,6,0.5,1,Information Technology,Male,Tier-2,1,14.2
9.88,84.7,48.5,0,0,6,5,8,0,2.7,3,Electronics,Female,Tier-3,1,14.23
9.87,96.0,74.2,0,0,10,5,4,2,0.6,5,Electronics,Male,Tier-1,1,21.66
7.76,58.5,86.7,1,4,15,8,0,5,0.1,7,Electrical,Male,Tier-1,1,16.28
9.11,81.2,72.4,0,0,5,6,7,3,0.2,1,Information Technology,Female,Tier-2,1,19.24
9.83,80.2,57.2,1,0,12,8,2,5,0.1,3,Information Technology,Female,Tier-2,1,18.48
8.23,77.2,63.2,0,2,10,9,8,0,0.3,6,Computer Science,Male,Tier-3,1,18.56
9.35,82.3,59.7,1,1,5,10,8,5,0.4,8,Information Technology,Male,Tier-2,1,21.14
7.74,75.2,67.0,0,1,8,4,5,3,0.4,3,Information Technology,Male,Tier-1,1,22.94
8.97,66.0,59.9,0,1,15,4,3,2,1.8,6,Information Technology,Male,Tier-3,1,17.04
8.79,80.6,76.9,0,1,10,4,8,5,1.5,7,Electronics,Female,Tier-3,1,14.83
8.68,85.8,67.9,0,1,5,4,8,0,0.7,7,Mechanical,Male,Tier-3,0,0.0
9.17,77.4,83.2,0,0,1,3,1,0,0.6,4,Computer Science,Male,Tier-2,1,17.31
8.6,90.7,62.3,0,2,5,5,5,5,0.5,8,Electronics,Male,Tier-3,1,13.93
9.28,75.2,78.3,0,0,13,0,3,6,0.0,6,Mechanical,Male,Tier-2,0,0.0
9.03,83.5,74.5,0,0,5,1,2,3,2.5,4,Computer Science,Female,Tier-3,1,16.2
6.91,59.0,80.1,0,0,5,8,5,0,0.3,8,Information Technology,Male,Tier-2,1,16.18
